"ensemble","geneName","statistic","pvalue","amplitude1","amplitude2","phi1","phi2","basal1","basal2","sigma_alpha","sigma_0","qvalue","r1","r2"
"ENSG00000085365","SCAMP1",0.696486490195866,0.705927142011687,0.406685853077127,1.02183368326789,1.81359126508954,6.32586360620486,32.3067122273065,32.6746842991533,1.69706364219258,4.11164021657851,0.925676773549591,0.0989108559249257,0.248522154041534
"ENSG00000243562",NA,1.20917876713096,0.546298699815732,0.156298328470927,0.13847438537552,4.23329688968958,-1.48221296805236,1.07719819441956,1.09752820226107,0.12954585245323,0.65145634111571,0.878528105742997,0.239921416995104,0.212561267173121
"ENSG00000128641","MYO1B",0.27544090531967,0.87134223910802,2.05636867778369,2.10908141930711,-3.66767009997321,-2.2573729319656,9.98037386876891,10.2413855101256,1.86865867621082,5.96046823607097,0.971674531751793,0.345001197278289,0.353844922206545
"ENSG00000152620","NADK2",3.01069815192568,0.221939806456615,0.978297602028822,2.47122270009503,4.3068795141496,6.85616451476551,38.2520570950276,37.7746568942699,1.94964024108252,3.79895302391994,0.684962475452355,0.257517688655009,0.65050098922916
"ENSG00000273381",NA,2.23729469117566,0.326721437054291,0.0583009776077419,0.215624908300826,9.05998768192138,8.07494539767538,1.07213501940355,1.0374168860537,0.0943285035713988,0.385341291586549,0.797899769742534,0.151296990176427,0.55956865513437
"ENSG00000166199","ALKBH3",0.510715473682694,0.774639331360101,0.447616587750563,0.981801711008591,-6.42178385253871,-5.9079000954454,18.7170807963987,19.5446638222496,1.35125117278003,2.69355978357877,0.940574797886867,0.166180305512225,0.364499691818287
"ENSG00000179912","R3HDM2",1.11354852053125,0.573054610649225,0.557214532092561,0.312099740303219,-4.61579822736096,4.89172979429171,13.6739742765908,13.0839341307577,1.04391497243203,2.78709144111821,0.883105692050287,0.199926892914931,0.111980445169033
"ENSG00000111196","MAGOHB",5.40911883344313,0.0668997922842779,0.299422963855716,0.140354512256634,6.2360632097215,-5.90946267510758,2.96304911665117,3.24691939625269,0.23277994197677,0.668073258329819,0.434946657413317,0.448188817801617,0.210088505274885
"ENSG00000006015","REX1BD",3.64608421685045,0.161533599999661,3.09582248148204,1.1463981754632,5.72999336045297,-3.63139994531894,43.6081550245079,41.327986841827,2.11320209706685,7.49860445180871,0.598563016179972,0.412853151726827,0.152881537202123
"ENSG00000130816","DNMT1",0.407242948721091,0.81577110303057,0.537099328249798,0.293378512349893,-5.38056407497257,-6.29164572269137,6.21953615340422,6.27994359733366,0.61029471338365,1.47651995853748,0.956651921331095,0.363760289960322,0.198695934080355
"ENSG00000242125","SNHG3",0.218433356980995,0.896536136354021,3.62597272207508,3.05892723385426,-3.50686187909285,-2.69501656523582,8.997957797079,8.46114697243447,0,7.06474618263097,0.977399669248859,0.513248831357835,0.43298473218681
"ENSG00000147874","HAUS6",0.957456192923246,0.61957092531883,0.0513168640165805,0.30408803563822,7.46420606266764,-8.41532315281635,9.97113021452749,10.4681361962465,0.843570186762731,1.31078254033176,0.888993475353382,0.0391497921566702,0.231989690342728
"ENSG00000173914","RBM4B",2.17783110716613,0.336581300249471,0.838654095326578,0.355410728518099,6.64442781445807,7.75688535510979,6.17466007037453,6.33208825277625,0.193942210515982,1.23526318232756,0.797899769742534,0.678927460418868,0.287720652248707
"ENSG00000196459","TRAPPC2",3.38282174045719,0.184259374451768,0.201547323456792,0.334160766235084,2.68744207981742,-4.78538821061979,4.27096942361003,4.42768006109033,0.331851241450431,0.87816070595935,0.622697615788424,0.229510751379624,0.380523478182764
"ENSG00000263905",NA,7.33761319850498,0.0255068917340406,0.154341619999695,0.395550161312319,5.54815101582979,-4.72577751905695,1.14263407322924,1.17066566475288,0.172707458356889,0.696856105014271,0.298014194239556,0.221482769382546,0.567621003053734
"ENSG00000178538","CA8",2.28651015797294,0.318779678129514,0.868512764706666,0.552179824541449,-4.52462368261749,-2.3384592894352,2.63700049132043,2.64659915699316,0.468904175528357,1.22225110848193,0.797899769742534,0.710584558835366,0.451772815511923
"ENSG00000166788","SAAL1",0.807189707352308,0.667914669632435,0.0811648202411961,0.0499360177375613,6.20803178478925,-1.04093621770223,2.55706961181464,2.58360836912247,0.176247638746761,0.437072762286588,0.909348747597073,0.185700934134112,0.114251040207393
"ENSG00000073756","PTGS2",0.917252829278368,0.632151363286707,1.75981295283637,4.74823225007135,-3.4786418528934,0.603917927801558,11.4851430751155,9.72859457731412,0,18.3321796855289,0.899542568979381,0.0959958380849572,0.259010784943349
"ENSG00000277476",NA,1.69270823448102,0.428976080833878,0.0721092998106449,0.142488351863622,-10.8747177416294,7.66368040599491,1.91407937125376,1.79652202122477,0.215164300971657,0.414742641120851,0.833917848140561,0.173865170014272,0.343558481178942
"ENSG00000049540","ELN",0.916710723525057,0.632322732956279,0.886230176497265,1.71861198560918,-6.93762338579675,-7.50464658811966,3.69115212345393,3.88426335985908,0.638633683252176,3.45826185427779,0.899542568979381,0.25626462478572,0.496958315485363
"ENSG00000120833","SOCS2",0.121681497313375,0.940973079071502,1.56269794584685,1.24604852002923,-1.92576190022081,-2.35733620012131,5.11315681787005,4.58482519465705,0.929407040045658,4.27835163179862,0.979467432306245,0.365257014928876,0.291244999772352
